Date,ScalerCorr,pressure,activeSD
1117720800,1660.38,863.46,1050.17
1117722600,1661.54,863.255,1050.83
1117724400,1660.94,862.909,1052.25
1117726200,1660.07,862.465,1055.33
1117728000,1657.9,861.901,1057.75
1117729800,1655.92,861.403,1056.33
1117731600,1654.14,861.033,1060.25
1117733400,1652.08,860.76,1064.33
1117735200,1649.57,860.519,1064.5
1117737000,1646.4,860.207,1066.83
1117738800,1643.88,860.032,1071.17
1117740600,1642.1,860.133,1073.33
1117742400,1640.43,860.281,1070.83
1117744200,1637.99,860.42,1068.67
1117746000,1635.48,860.55,1068.42
1117747800,1634.44,860.799,1067.5
1117749600,1634.42,861.171,1066.25
1117751400,1634.58,861.457,1064.75
1117753200,1634.6,861.704,1068.33
1119484800,1614.7,864.091,1048
1119486600,1615.39,864.207,1043.75
1119488400,1616.08,864.167,1055.08
1119490200,1616.44,864.033,1057.83
1119492000,1616.6,863.95,1056.67
1119493800,1616.82,863.978,1058.25
1119495600,1618.05,864.013,1061.25
1119497400,1618.66,863.946,1063.42
1119499200,1618.02,863.793,1068.58
1119501000,1617.9,863.615,1070.42
1119502800,1618.24,863.466,1069.75
1119504600,1619.08,863.315,1069.58
1119506400,1619.9,863.065,1074.25
1119508200,1620.86,862.84,1080.58
1119510000,1622.21,862.703,1084.92
1119511800,1623.7,862.606,1086.25
1119513600,1625.81,862.488,1085.42
1119515400,1626.43,862.263,1092.42
1119517200,1626.6,862.058,1095.5
1119519000,1628.67,862.187,1092.83
1119520800,1629.85,862.472,1094.17
1119522600,1627.87,862.609,1091.08
1119524400,1628,862.804,1089
1119526200,1632.14,863.02,1091
1119528000,1636.31,863.141,1089.33
1119529800,1641.06,863.232,1083.5
1119531600,1645.16,863.242,1072.33
1119533400,1647.74,863.141,1061.17
1119535200,1649.66,863.047,1059.42
1119537000,1650.58,862.807,1060.25
1119538800,1651.45,862.395,1062.67
1119540600,1651.72,861.908,1064.17
1119542400,1650.86,861.353,1063.25
1119544200,1649.09,860.826,1067.42
1119546000,1646.15,860.397,1070.67
1119547800,1642.06,860.116,1075.25
1119549600,1637.37,859.966,1086.92
1119551400,1632.91,859.911,1093.58
1119553200,1628.55,859.941,1091.75
1119555000,1625.05,860.002,1087.92
1119556800,1622.78,860.139,1081.42
1119558600,1619.8,860.271,1073.5
1119560400,1616.3,860.409,1066.33
1119562200,1614.37,860.623,1063.58
1119564000,1614.88,860.939,1067.83
1119565800,1616.23,861.297,1074.83
1119567600,1617.76,861.527,1080.08
1118016000,1642.42,862.003,1036.92
1118017800,1642.01,862.189,1034.83
1118019600,1642.26,862.336,1038.42
1118021400,1643.06,862.405,1042.75
1118023200,1643.87,862.49,1043.5
1118025000,1645.18,862.694,1041.58
1118026800,1646.78,862.992,1044.33
1118028600,1648.16,863.305,1048
1118030400,1649.55,863.539,1051.58
1118032200,1651.14,863.651,1054.67
1118034000,1652.08,863.682,1053.75
1118035800,1652.4,863.75,1051.42
