date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
77,2007.11.20 11:00:00,0.8,1.08,1.4,6,-0.25,9,19.7,-15.0,668.0,-63.0
78,2007.11.22 09:00:00,0.6,0.84,0.69,18,-0.14,9,9.9,-7.0,661.0,-39.0
79,2007.11.24 13:00:00,0.7,0.97,0.95,15,-0.13,9,6.3,-4.4,644.0,-23.0
80,2007.12.04 23:00:00,0.6,0.98,0.68,27,-0.19,9,8.5,-3.8,372.0,-6.0
81,2007.12.08 22:00:00,0.4,0.84,0.97,13,-0.2,9,5.8,-5.1,363.0,-10.0
82,2007.12.10 13:00:00,0.9,0.72,0.56,6,-0.2,9,15.2,-10.4,461.0,-22.0
83,2007.12.11 02:00:00,1.1,1.21,0.86,52,-0.21,9,12.6,-4.4,637.0,-27.0
84,2007.12.17 02:53:00,1.2,1.2,0.98,20,-0.3,1,15.9,-6.0,697.0,-38.0
85,2007.12.25 13:00:00,0.4,0.92,0.7,-3,-0.12,9,7.0,-3.9,391.0,-11.0
86,2007.12.27 17:00:00,0.7,0.75,0.85,8,-0.23,9,8.2,-3.4,476.0,-14.0
87,2007.12.30 12:00:00,0.5,0.87,0.68,17,-0.2,9,7.5,-3.0,384.0,-12.0
0,2008.01.04 22:50:00,2.5,0.81,1.16,48,-0.22,3,15.8,-8.6,713.0,-30.0
1,2008.01.12 07:00:00,0.2,0.59,0.88,9,-0.14,9,7.7,-6.9,443.0,-27.0
2,2008.01.12 19:00:00,0.8,0.85,0.9,23,-0.23,9,8.8,-4.3,720.0,-34.0
3,2008.01.25 01:00:00,0.5,0.8,1.02,5,-0.15,9,9.1,-5.1,551.0,-21.0
4,2008.01.31 11:23:00,0.6,0.6,0.84,18,-0.19,1,11.4,-4.6,461.0,-30.0
5,2008.02.01 08:00:00,1.3,0.55,0.58,68,-0.19,9,8.8,-6.0,634.0,-49.0
6,2008.02.07 15:00:00,0.4,1.02,0.78,3,-0.19,9,8.1,-3.4,441.0,-19.0
7,2008.02.08 12:00:00,0.7,1.04,0.69,21,-0.18,9,5.0,-3.4,424.0,-21.0
8,2008.02.09 17:00:00,1.1,1.15,1.04,15,-0.26,9,16.4,-4.8,749.0,-36.0
9,2008.02.18 08:00:00,0.5,0.47,0.62,11,-0.16,9,6.6,-4.4,622.0,-33.0
10,2008.02.21 03:00:00,0.3,0.37,0.84,-3,-0.16,9,5.5,-3.3,517.0,-20.0
11,2008.02.27 14:00:00,1.8,0.62,0.67,55,-0.24,9,11.1,-5.0,785.0,-52.0
12,2008.03.05 03:00:00,0.3,1.04,0.85,13,-0.17,9,5.9,-4.4,431.0,-29.0
13,2008.03.08 07:00:00,1.3,1.55,1.16,33,-0.26,9,16.0,-13.3,706.0,-86.0
14,2008.03.16 06:00:00,0.4,0.8,0.88,15,-0.12,9,5.5,-3.8,605.0,-29.0
15,2008.03.26 09:36:00,1.2,0.76,0.56,19,-0.3,3,9.5,-8.4,624.0,-48.0
16,2008.03.27 15:00:00,0.8,0.92,0.73,25,-0.23,9,7.7,-3.1,688.0,-56.0
17,2008.04.04 11:00:00,1.0,0.73,0.55,42,-0.17,3,11.9,-7.6,729.0,-33.0
18,2008.04.11 05:00:00,0.5,0.67,0.94,5,-0.16,9,6.1,-3.0,614.0,-23.0
19,2008.04.15 13:40:00,0.5,0.77,1.03,28,-0.13,1,10.1,-5.1,603.0,-33.0
20,2008.04.22 14:00:00,1.3,0.87,0.56,36,-0.42,9,14.5,-8.0,659.0,-46.0
21,2008.04.24 05:00:00,0.7,0.81,0.73,14,-0.18,9,9.1,-3.3,624.0,-39.0
22,2008.04.27 22:00:00,0.6,0.73,0.84,16,-0.17,9,6.5,-4.6,499.0,-29.0
23,2008.04.30 15:57:00,1.0,0.86,0.98,32,-0.22,1,8.4,-6.4,518.0,-23.0
24,2008.05.03 11:00:00,0.5,0.93,0.5,18,-0.2,9,8.1,-4.4,647.0,-21.0
25,2008.05.13 03:00:00,0.6,1.2,0.85,7,-0.18,9,5.7,-2.5,382.0,-7.0
26,2008.05.15 22:00:00,0.3,0.88,0.55,10,-0.13,9,7.3,-4.2,423.0,-8.0
27,2008.05.19 03:00:00,0.4,0.6,0.59,25,-0.13,9,7.4,-4.2,401.0,-11.0
28,2008.05.20 13:00:00,1.6,0.73,0.63,46,-0.23,9,8.3,-5.1,605.0,-29.0
29,2008.05.23 20:00:00,0.6,0.93,0.65,24,-0.16,9,6.0,-2.7,570.0,-21.0
30,2008.05.28 02:25:00,1.1,0.93,1.14,25,-0.16,1,10.6,-3.9,538.0,-21.0
31,2008.05.29 19:00:00,1.2,0.78,0.83,35,-0.18,9,7.8,-4.3,645.0,-21.0
32,2008.06.06 04:00:00,0.5,0.83,0.99,23,-0.12,9,8.1,-4.9,519.0,-16.0
33,2008.06.13 06:00:00,0.2,0.53,0.67,3,-0.13,9,3.9,-1.3,318.0,-2.0
34,2008.06.14 12:23:00,1.8,0.73,1.22,64,-0.21,3,14.8,-10.1,758.0,-41.0
35,2008.06.19 21:00:00,0.6,0.66,0.7,8,-0.16,9,7.1,-5.5,594.0,-30.0
36,2008.06.24 20:10:00,0.2,0.89,0.61,8,-0.1,1,8.2,-5.2,391.0,-29.0
37,2008.06.25 15:00:00,1.6,0.96,0.89,33,-0.31,9,13.8,-4.2,648.0,-17.0
